(/home/ege_artan/.code/Python/hypersonics) ege_artan@EgeLaptop:/mnt/c/SenkDosya/Projects/Hypersonics$ python arc/sod_passc_deneme.py --skip-fem

========  STEP 1 : FEM  ========
[INFO] --skip-fem set; reusing runs/fem/refactor/older/sod_fem_snapshots.npz as-is.

========  STEP 2 : PINN  ========
[INFO] PINN device = cuda
[INFO] 10 snapshots, 251 nodes, t in [0.1910, 0.2000], gamma = 1.4
[INFO] U_ref = [1. 1. 3.]
[INFO] FEM fingerprint = 8e8a686f051f185f
[INFO] PINN fingerprint = 4860d026fb80167a
[INFO] No PINN cache at runs/pinn/refactor/older/sod_passc_model.pt; training.
epoch     0 | L_tot 2.174e-01 | L_data 8.633e-02 | L_pde 1.310e+00 | w_data 1.00 w_pde 0.10 | lr 8.0e-04| t_elapsed 0.02 min
epoch    20 | L_tot 1.846e-02 | L_data 1.706e-02 | L_pde 1.392e-02 | w_data 1.00 w_pde 0.10 | lr 8.0e-04| t_elapsed 0.18 min
epoch    40 | L_tot 1.399e-03 | L_data 1.214e-03 | L_pde 1.859e-03 | w_data 1.00 w_pde 0.10 | lr 8.0e-04| t_elapsed 0.41 min
epoch    60 | L_tot 1.053e-03 | L_data 9.486e-04 | L_pde 1.043e-03 | w_data 1.00 w_pde 0.10 | lr 8.0e-04| t_elapsed 0.67 min
epoch    80 | L_tot 9.426e-04 | L_data 8.601e-04 | L_pde 8.251e-04 | w_data 1.00 w_pde 0.10 | lr 8.0e-04| t_elapsed 0.90 min
epoch   100 | L_tot 8.759e-04 | L_data 8.184e-04 | L_pde 5.751e-04 | w_data 1.00 w_pde 0.10 | lr 8.0e-04| t_elapsed 1.13 min
epoch   120 | L_tot 8.629e-04 | L_data 8.191e-04 | L_pde 4.385e-04 | w_data 1.00 w_pde 0.10 | lr 8.0e-04| t_elapsed 1.33 min
epoch   140 | L_tot 8.180e-04 | L_data 7.700e-04 | L_pde 4.797e-04 | w_data 1.00 w_pde 0.10 | lr 8.0e-04| t_elapsed 1.56 min
epoch   160 | L_tot 7.948e-04 | L_data 7.617e-04 | L_pde 3.311e-04 | w_data 1.00 w_pde 0.10 | lr 8.0e-04| t_elapsed 1.71 min
epoch   180 | L_tot 7.558e-04 | L_data 7.192e-04 | L_pde 3.663e-04 | w_data 1.00 w_pde 0.10 | lr 8.0e-04| t_elapsed 1.94 min
epoch   200 | L_tot 7.248e-04 | L_data 6.887e-04 | L_pde 3.602e-04 | w_data 1.00 w_pde 0.10 | lr 8.0e-04| t_elapsed 2.16 min
